CCI,Status,Published,contributor,Definition,Type,NIST800-53rev4,Control,NIST800-53rev3,Control,NIST800-53rev1,Control
CCI-003542,draft,11/8/2013,DISA FSO,"The organization defines the time period within which it must respond to complaints, concerns, or questions from individuals about the organizational privacy practices.",policy,4,IP-4 (1),,,,
CCI-003543,draft,11/8/2013,DISA FSO,"The organization responds to complaints, concerns, or questions from individuals about the organizational privacy practices within the organization-defined time period.",policy,4,IP-4 (1),,,,
CCI-003544,draft,11/8/2013,DISA FSO,"The organization defines the frequency on which it will update the inventory that contains a listing of all programs and information systems identified as collecting, using, maintaining, or sharing personally identifiable information (PII).",policy,4,SE-1 a,,,,
CCI-003545,draft,11/8/2013,DISA FSO,"The organization establishes an inventory that contains a listing of all programs identified as collecting, using, maintaining, or sharing personally identifiable information (PII).",policy,4,SE-1 a,,,,
CCI-003546,draft,11/8/2013,DISA FSO,"The organization establishes an inventory that contains a listing of all information systems identified as collecting, using, maintaining, or sharing personally identifiable information (PII).",policy,4,SE-1 a,,,,
CCI-003547,draft,11/8/2013,DISA FSO,"The organization maintains an inventory that contains a listing of all programs identified as collecting, using, maintaining, or sharing personally identifiable information (PII).",policy,4,SE-1 a,,,,
CCI-003548,draft,11/8/2013,DISA FSO,"The organization maintains an inventory that contains a listing of all information systems identified as collecting, using, maintaining, or sharing personally identifiable information (PII).",policy,4,SE-1 a,,,,
CCI-003549,draft,11/8/2013,DISA FSO,"The organization updates, per organization-defined frequency, an inventory that contains a listing of all programs identified as collecting, using, maintaining, or sharing personally identifiable information (PII).",policy,4,SE-1 a,,,,
CCI-003550,draft,11/8/2013,DISA FSO,"The organization updates, per organization-defined frequency, an inventory that contains a listing of all information systems identified as collecting, using, maintaining, or sharing personally identifiable information (PII).",policy,4,SE-1 a,,,,
CCI-003551,draft,11/8/2013,DISA FSO,The organization defines the frequency for providing each update of the personally identifiable information (PII) inventory to the CIO or information security official.,policy,4,SE-1 b,,,,
CCI-003552,draft,11/8/2013,DISA FSO,"The organization provides each update of the personally identifiable information (PII) inventory to the CIO or information security official, per organization-defined frequency, to support the establishment of information security requirements for all new or modified information systems containing PII.",policy,4,SE-1 b,,,,
CCI-003553,draft,11/8/2013,DISA FSO,The organization develops a Privacy Incident Response Plan.,policy,4,SE-2 a,,,,
CCI-003554,draft,11/8/2013,DISA FSO,The organization implements a Privacy Incident Response Plan.,policy,4,SE-2 a,,,,
CCI-003555,draft,11/8/2013,DISA FSO,The organization provides an organized and effective response to privacy incidents in accordance with the organizational Privacy Incident Response Plan.,policy,4,SE-2 b,,,,
CCI-003556,draft,11/8/2013,DISA FSO,"The organization provides effective notice to the public regarding its activities that impact privacy, including its collection, use, sharing, safeguarding, maintenance, and disposal of personally identifiable information (PII).",policy,4,TR-1 a,,,,
CCI-003557,draft,11/8/2013,DISA FSO,"The organization provides effective notice to individuals regarding its activities that impact privacy, including its collection, use, sharing, safeguarding, maintenance, and disposal of personally identifiable information (PII).",policy,4,TR-1 a,,,,
CCI-003558,draft,11/8/2013,DISA FSO,The organization provides effective notice to the public regarding its authority for collecting personally identifiable information (PII).,policy,4,TR-1 a,,,,
CCI-003559,draft,11/8/2013,DISA FSO,The organization provides effective notice to individuals regarding its authority for collecting personally identifiable information (PII).,policy,4,TR-1 a,,,,
CCI-003560,draft,11/8/2013,DISA FSO,"The organization provides effective notice to the public regarding the choices, if any, individuals may have regarding how the organization uses personally identifiable information (PII).",policy,4,TR-1 a,,,,
CCI-003561,draft,11/8/2013,DISA FSO,"The organization provides effective notice to individuals regarding the choices, if any, individuals may have regarding how the organization uses personally identifiable information (PII).",policy,4,TR-1 a,,,,
CCI-003562,draft,11/8/2013,DISA FSO,The organization provides effective notice to the public regarding the consequences of exercising or not exercising the choices regarding how the organization uses personally identifiable information (PII).,policy,4,TR-1 a,,,,
CCI-003563,draft,11/8/2013,DISA FSO,The organization provides effective notice to individuals regarding the consequences of exercising or not exercising the choices regarding how the organization uses personally identifiable information (PII).,policy,4,TR-1 a,,,,
CCI-003564,draft,11/8/2013,DISA FSO,The organization provides effective notice to the public regarding the ability to access personally identifiable information (PII).,policy,4,TR-1 a,,,,
CCI-003565,draft,11/8/2013,DISA FSO,The organization provides effective notice to individuals regarding the ability to access personally identifiable information (PII).,policy,4,TR-1 a,,,,
CCI-003566,draft,11/8/2013,DISA FSO,The organization provides effective notice to the public regarding the ability to have personally identifiable information (PII) amended or corrected if necessary.,policy,4,TR-1 a,,,,
CCI-003567,draft,11/8/2013,DISA FSO,The organization provides effective notice to individuals regarding the ability to have personally identifiable information (PII) amended or corrected if necessary.,policy,4,TR-1 a,,,,
CCI-003568,draft,11/8/2013,DISA FSO,The organization describes the personally identifiable information (PII) the organization collects.,policy,4,TR-1 b,,,,
CCI-003569,draft,11/8/2013,DISA FSO,The organization describes the purpose(s) for which it collects the personally identifiable information (PII).,policy,4,TR-1 b,,,,
CCI-003570,draft,11/8/2013,DISA FSO,The organization describes how the organization uses personally identifiable information (PII) internally.,policy,4,TR-1 b,,,,
CCI-003571,draft,11/8/2013,DISA FSO,The organization describes whether the organization shares personally identifiable information (PII) with external entities.,policy,4,TR-1 b,,,,
CCI-003572,draft,11/8/2013,DISA FSO,The organization describes the categories of those external entities with whom personally identifiable information (PII) is shared.,policy,4,TR-1 b,,,,
CCI-003573,draft,11/8/2013,DISA FSO,The organization describes the purposes for sharing personally identifiable information (PII) with external entities.,policy,4,TR-1 b,,,,
CCI-003574,draft,11/8/2013,DISA FSO,The organization describes whether individuals have the ability to consent to specific uses or sharing of personally identifiable information (PII).,policy,4,TR-1 b,,,,
CCI-003575,draft,11/8/2013,DISA FSO,The organization describes how individuals may exercise their consent regarding specific uses or sharing of personally identifiable information (PII).,policy,4,TR-1 b,,,,
CCI-003576,draft,11/8/2013,DISA FSO,The organization describes how individuals may obtain access to personally identifiable information (PII).,policy,4,TR-1 b,,,,
CCI-003577,draft,11/8/2013,DISA FSO,The organization describes how the personally identifiable information (PII) will be protected.,policy,4,TR-1 b,,,,
CCI-003578,draft,11/8/2013,DISA FSO,"The organization revises its public notices to reflect changes in practice or policy that affect personally identifiable information (PII), before or as soon as practicable after the change.",policy,4,TR-1 c,,,,
CCI-003579,draft,11/8/2013,DISA FSO,"The organization revises its public notices to reflect changes in practice or policy that impact privacy, before or as soon as practicable after the change.",policy,4,TR-1 c,,,,
CCI-003580,draft,11/8/2013,DISA FSO,The organization provides real-time notice and/or layered notice when it collects personally identifiable information (PII).,policy,4,TR-1 (1),,,,
CCI-003581,draft,11/8/2013,DISA FSO,"The organization publishes System of Records Notices (SORNs) in the Federal Register, subject to required oversight processes, for systems containing personally identifiable information (PII).",policy,4,TR-2 a,,,,
CCI-003582,draft,11/8/2013,DISA FSO,The organization keeps System of Records Notices (SORNs) current.,policy,4,TR-2 b,,,,
CCI-003583,draft,11/8/2013,DISA FSO,"The organization includes Privacy Act Statements on its forms that collect personally identifiable information (PII), or on separate forms that can be retained by individuals, to provide additional formal notice to individuals from whom the information is being collected.",policy,4,TR-2 c,,,,
CCI-003584,draft,11/8/2013,DISA FSO,The organization publishes System of Records Notices (SORNs) on its public website.,policy,4,TR-2 (1),,,,
CCI-003585,draft,11/8/2013,DISA FSO,The organization ensures the public has access to information about its privacy activities.,policy,4,TR-3 a,,,,
CCI-003586,draft,11/8/2013,DISA FSO,The organization ensures the public is able to communicate with its Senior Agency Official for Privacy (SAOP)/Chief Privacy Officer (CPO).,policy,4,TR-3 a,,,,
CCI-003587,draft,11/8/2013,DISA FSO,The organization ensures its privacy practices are publicly available through organizational websites or otherwise.,policy,4,TR-3 b,,,,
CCI-003588,draft,11/8/2013,DISA FSO,The organization uses personally identifiable information (PII) internally only for the authorized purpose(s) identified in the Privacy Act and/or in public notices.,policy,4,UL-1,,,,
CCI-003589,draft,11/8/2013,DISA FSO,"The organization shares personally identifiable information (PII) externally, only for the authorized purposes identified in the Privacy Act and/or described in its notice(s) or for a purpose that is compatible with those purposes.",policy,4,UL-2 a,,,,
CCI-003590,draft,11/8/2013,DISA FSO,"The organization, where appropriate, enters into Memoranda of Understanding, Memoranda of Agreement, Letters of Intent, Computer Matching Agreements, or similar agreements, with third parties that specifically describe the personally identifiable information (PII) covered.",policy,4,UL-2 b,,,,
CCI-003591,draft,11/8/2013,DISA FSO,"The organization, where appropriate, enters into Memoranda of Understanding, Memoranda of Agreement, Letters of Intent, Computer Matching Agreements, or similar agreements, with third parties that specifically enumerate the purposes for which the personally identifiable information (PII) may be used.",policy,4,UL-2 b,,,,
CCI-003592,draft,11/8/2013,DISA FSO,The organization monitors its staff on the authorized sharing of personally identifiable information (PII) with third parties.,policy,4,UL-2 c,,,,
CCI-003593,draft,11/8/2013,DISA FSO,The organization audits its staff on the authorized sharing of personally identifiable information (PII) with third parties.,policy,4,UL-2 c,,,,
CCI-003594,draft,11/8/2013,DISA FSO,The organization trains its staff on the authorized sharing of personally identifiable information (PII) with third parties.,policy,4,UL-2 c,,,,
CCI-003595,draft,11/8/2013,DISA FSO,The organization trains its staff on the consequences of unauthorized use or sharing of personally identifiable information (PII).,policy,4,UL-2 c,,,,
CCI-003596,draft,11/8/2013,DISA FSO,The organization evaluates any proposed new instances of sharing personally identifiable information (PII) with third parties to assess whether the sharing is authorized.,policy,4,UL-2 d,,,,
CCI-003597,draft,11/8/2013,DISA FSO,The organization evaluates any proposed new instances of sharing personally identifiable information (PII) with third parties to assess whether additional or new public notice is required.,policy,4,UL-2 d,,,,
CCI-003392,draft,11/7/2013,DISA FSO,"The organization determines and documents the legal authority that permits the collection of personally identifiable information (PII), either generally or in support of a specific program or information system need.",policy,4,AP-1,,,,
CCI-003393,draft,11/7/2013,DISA FSO,"The organization determines and documents the legal authority that permits the use of personally identifiable information (PII), either generally or in support of a specific program or information system need.",policy,4,AP-1,,,,
CCI-003394,draft,11/7/2013,DISA FSO,"The organization determines and documents the legal authority that permits the maintenance of personally identifiable information (PII), either generally or in support of a specific program or information system need.",policy,4,AP-1,,,,
CCI-003395,draft,11/7/2013,DISA FSO,"The organization determines and documents the legal authority that permits the sharing of personally identifiable information (PII), either generally or in support of a specific program or information system need.",policy,4,AP-1,,,,
CCI-003396,draft,11/7/2013,DISA FSO,"The organization describes, in its privacy notices, the purpose(s) for which personally identifiable information (PII) is collected.",policy,4,AP-2,,,,
CCI-003398,draft,11/7/2013,DISA FSO,"The organization describes, in its privacy notices, the purpose(s) for which personally identifiable information (PII) is used.",policy,4,AP-2,,,,
CCI-003399,draft,11/7/2013,DISA FSO,"The organization describes, in its privacy notices, the purpose(s) for which personally identifiable information (PII) is maintained.",policy,4,AP-2,,,,
CCI-003400,draft,11/7/2013,DISA FSO,"The organization describes, in its privacy notices, the purpose(s) for which personally identifiable information (PII) is shared.",policy,4,AP-2,,,,
CCI-003397,draft,11/7/2013,DISA FSO,"The organization appoints a Senior Agency Official for Privacy (SAOP)/Chief Privacy Officer (CPO) accountable for developing, implementing, and maintaining an organization-wide governance and privacy program to ensure compliance with all applicable laws and regulations regarding the collection, use, maintenance, sharing, and disposal of personally identifiable information (PII) by programs and information systems.",policy,4,AR-1 a,,,,
CCI-003401,draft,11/7/2013,DISA FSO,The organization monitors federal privacy laws and policy for changes that affect the privacy program.,policy,4,AR-1 b,,,,
CCI-003402,draft,11/7/2013,DISA FSO,The organization defines the allocation of budget resources sufficient to implement and operate the organization-wide privacy program.,policy,4,AR-1 c,,,,
CCI-003403,draft,11/7/2013,DISA FSO,The organization defines the allocation of staffing resources sufficient to implement and operate the organization-wide privacy program.,policy,4,AR-1 c,,,,
CCI-003404,draft,11/7/2013,DISA FSO,The organization allocates sufficient organization-defined budget resources to implement and operate the organization-wide privacy program.,policy,4,AR-1 c,,,,
CCI-003405,draft,11/7/2013,DISA FSO,The organization allocates sufficient organization-defined staffing resources to implement and operate the organization-wide privacy program.,policy,4,AR-1 c,,,,
CCI-003406,draft,11/7/2013,DISA FSO,"The organization develops a strategic organizational privacy plan for implementing applicable privacy controls, policies, and procedures.",policy,4,AR-1 d,,,,
CCI-003407,draft,11/7/2013,DISA FSO,"The organization develops operational privacy policies which govern the appropriate privacy and security controls for programs, information systems, or technologies involving personally identifiable information (PII).",policy,4,AR-1 e,,,,
CCI-003408,draft,11/7/2013,DISA FSO,"The organization disseminates operational privacy policies which govern the appropriate privacy and security controls for programs, information systems, or technologies involving personally identifiable information (PII).",policy,4,AR-1 e,,,,
CCI-003409,draft,11/7/2013,DISA FSO,"The organization implements operational privacy policies which govern the appropriate privacy and security controls for programs, information systems, or technologies involving personally identifiable information (PII).",policy,4,AR-1 e,,,,
CCI-003410,draft,11/7/2013,DISA FSO,"The organization develops operational privacy procedures which govern the appropriate privacy and security controls for programs, information systems, or technologies involving personally identifiable information (PII).",policy,4,AR-1 e,,,,
CCI-003411,draft,11/7/2013,DISA FSO,"The organization disseminates operational privacy procedures which govern the appropriate privacy and security controls for programs, information systems, or technologies involving personally identifiable information (PII).",policy,4,AR-1 e,,,,
CCI-003412,draft,11/7/2013,DISA FSO,"The organization implements operational privacy procedures which govern the appropriate privacy and security controls for programs, information systems, or technologies involving personally identifiable information (PII).",policy,4,AR-1 e,,,,
CCI-003413,draft,11/7/2013,DISA FSO,"The organization defines the frequency, minimally biennially, on which the privacy plan, policies, and procedures are to be updated.",policy,4,AR-1 f,,,,
CCI-003414,draft,11/7/2013,DISA FSO,The organization updates the privacy plan per organization-defined frequency.,policy,4,AR-1 f,,,,
CCI-003415,draft,11/7/2013,DISA FSO,The organization updates the privacy policies per organization-defined frequency.,policy,4,AR-1 f,,,,
CCI-003416,draft,11/7/2013,DISA FSO,The organization updates the privacy procedures per organization-defined frequency.,policy,4,AR-1 f,,,,
CCI-003417,draft,11/7/2013,DISA FSO,The organization documents a privacy risk management process which assesses the privacy risk to individuals.,policy,4,AR-2 a,,,,
CCI-003418,draft,11/7/2013,DISA FSO,The organization implements a privacy risk management process which assesses the privacy risk to individuals.,policy,4,AR-2 a,,,,
CCI-003419,draft,11/7/2013,DISA FSO,The organization's privacy risk management process assesses the privacy risk to individuals resulting from the collection of personally identifiable information (PII).,policy,4,AR-2 a,,,,
CCI-003420,draft,11/7/2013,DISA FSO,The organization's privacy risk management process assesses the privacy risk to individuals resulting from the sharing of personally identifiable information (PII).,policy,4,AR-2 a,,,,
CCI-003421,draft,11/7/2013,DISA FSO,The organization's privacy risk management process assesses the privacy risk to individuals resulting from the storing of personally identifiable information (PII).,policy,4,AR-2 a,,,,
CCI-003422,draft,11/7/2013,DISA FSO,The organization's privacy risk management process assesses the privacy risk to individuals resulting from the transmitting of personally identifiable information (PII).,policy,4,AR-2 a,,,,
CCI-003423,draft,11/7/2013,DISA FSO,The organization's privacy risk management process assesses the privacy risk to individuals resulting from the use of personally identifiable information (PII).,policy,4,AR-2 a,,,,
CCI-003424,draft,11/7/2013,DISA FSO,The organization's privacy risk management process assesses the privacy risk to individuals resulting from the disposal of personally identifiable information (PII).,policy,4,AR-2 a,,,,
CCI-003425,draft,11/7/2013,DISA FSO,"The organization conducts Privacy Impact Assessments (PIAs) for information systems, programs, or other activities that pose a privacy risk in accordance with applicable law, OMB policy, or any existing organizational policies and procedures.",policy,4,AR-2 b,,,,
CCI-003426,draft,11/7/2013,DISA FSO,The organization establishes privacy roles for contractors.,policy,4,AR-3 a,,,,
CCI-003427,draft,11/7/2013,DISA FSO,The organization establishes privacy responsibilities for contractors.,policy,4,AR-3 a,,,,
CCI-003428,draft,11/7/2013,DISA FSO,The organization establishes access requirements for contractors.,policy,4,AR-3 a,,,,
CCI-003429,draft,11/7/2013,DISA FSO,The organization establishes privacy roles for service providers.,policy,4,AR-3 a,,,,
CCI-003430,draft,11/7/2013,DISA FSO,The organization establishes privacy responsibilities for service providers.,policy,4,AR-3 a,,,,
CCI-003431,draft,11/7/2013,DISA FSO,The organization establishes access requirements for service providers.,policy,4,AR-3 a,,,,
CCI-003432,draft,11/7/2013,DISA FSO,The organization includes privacy requirements in contracts.,policy,4,AR-3 b,,,,
CCI-003433,draft,11/7/2013,DISA FSO,The organization includes privacy requirements in other acquisition-related documents.,policy,4,AR-3 b,,,,
CCI-003434,deprecated,11/7/2013,DISA FSO,The organization defines the frequency for monitoring privacy controls and internal privacy policy to ensure effective implementation.,policy,4,AR-4,,,,
CCI-003435,draft,11/7/2013,DISA FSO,The organization defines the frequency for auditing privacy controls and internal privacy policy to ensure effective implementation.,policy,4,AR-4,,,,
CCI-003436,draft,11/7/2013,DISA FSO,"The organization monitors privacy controls, per organization-defined frequency, to ensure effective implementation.",policy,4,AR-4,,,,
CCI-003437,draft,11/7/2013,DISA FSO,The organization monitors internal privacy policy to ensure effective implementation.,policy,4,AR-4,,,,
CCI-003438,draft,11/7/2013,DISA FSO,"The organization audits privacy controls, per organization-defined frequency, to ensure effective implementation.",policy,4,AR-4,,,,
CCI-003439,draft,11/7/2013,DISA FSO,"The organization audits internal privacy policy, per organization-defined frequency, to ensure effective implementation.",policy,4,AR-4,,,,
CCI-003440,draft,11/7/2013,DISA FSO,The organization develops a comprehensive training and awareness strategy aimed at ensuring that personnel understand privacy responsibilities and procedures.,policy,4,AR-5 a,,,,
CCI-003441,draft,11/7/2013,DISA FSO,The organization implements a comprehensive training and awareness strategy aimed at ensuring that personnel understand privacy responsibilities and procedures.,policy,4,AR-5 a,,,,
CCI-003442,draft,11/7/2013,DISA FSO,The organization updates a comprehensive training and awareness strategy aimed at ensuring that personnel understand privacy responsibilities and procedures.,policy,4,AR-5 a,,,,
CCI-003443,draft,11/7/2013,DISA FSO,"The organization defines the frequency, minimally annually, for administering its basic privacy training.",policy,4,AR-5 b,,,,
CCI-003444,draft,11/7/2013,DISA FSO,"The organization defines the frequency, minimally annually, for administering the targeted, role-based privacy training for personnel having responsibility for personally identifiable information (PII) or for activities that involve PII.",policy,4,AR-5 b,,,,
CCI-003445,draft,11/7/2013,DISA FSO,The organization administers basic privacy training per the organization-defined frequency.,policy,4,AR-5 b,,,,
